County,Sex,Age,Age_num,County_code,County_name,Year,Population
F-50 Trøndelag - Trööndelage,F,7 years,7,F-50,Trøndelag,2015,2594
F-50 Trøndelag - Trööndelage,F,8 years,8,F-50,Trøndelag,2015,2589
F-50 Trøndelag - Trööndelage,F,9 years,9,F-50,Trøndelag,2015,2664
F-50 Trøndelag - Trööndelage,F,10 years,10,F-50,Trøndelag,2015,2530
F-50 Trøndelag - Trööndelage,F,11 years,11,F-50,Trøndelag,2015,2546
F-50 Trøndelag - Trööndelage,F,12 years,12,F-50,Trøndelag,2015,2485
F-50 Trøndelag - Trööndelage,F,13 years,13,F-50,Trøndelag,2015,2631
F-50 Trøndelag - Trööndelage,F,14 years,14,F-50,Trøndelag,2015,2729
F-50 Trøndelag - Trööndelage,F,15 years,15,F-50,Trøndelag,2015,2687
F-50 Trøndelag - Trööndelage,F,16 years,16,F-50,Trøndelag,2015,2786
F-50 Trøndelag - Trööndelage,F,17 years,17,F-50,Trøndelag,2015,2661
F-50 Trøndelag - Trööndelage,F,18 years,18,F-50,Trøndelag,2015,2990
F-50 Trøndelag - Trööndelage,F,19 years,19,F-50,Trøndelag,2015,2921
F-50 Trøndelag - Trööndelage,F,20 years,20,F-50,Trøndelag,2015,3111
F-50 Trøndelag - Trööndelage,F,21 years,21,F-50,Trøndelag,2015,3174
F-50 Trøndelag - Trööndelage,F,22 years,22,F-50,Trøndelag,2015,3194
F-50 Trøndelag - Trööndelage,F,23 years,23,F-50,Trøndelag,2015,3297
F-50 Trøndelag - Trööndelage,F,24 years,24,F-50,Trøndelag,2015,3349
F-50 Trøndelag - Trööndelage,F,25 years,25,F-50,Trøndelag,2015,3221
F-50 Trøndelag - Trööndelage,F,26 years,26,F-50,Trøndelag,2015,3181
F-50 Trøndelag - Trööndelage,F,27 years,27,F-50,Trøndelag,2015,2893
F-50 Trøndelag - Trööndelage,F,28 years,28,F-50,Trøndelag,2015,2944
F-50 Trøndelag - Trööndelage,F,29 years,29,F-50,Trøndelag,2015,2883
